"","HH","TH","Truth"
"198",0.327272727272727,0.366165280316672,0.155
"199",0,0,0.16
"200",0.407142857142857,0.426860139432133,0.12
"201",0.194117647058824,0.232029270577074,0.1375
"202",0.177777777777778,0.194527387014593,0.1275
"203",0,0,0.14
"204",0.452222222222222,0.49764816490789,0.175
"205",0.3,0.346974391707048,0.18
"206",0.230769230769231,0.263975065949376,0.1925
"207",0,0,0.1675
"208",0.192307692307692,0.21997922162448,0.185
"209",0.345454545454545,0.374623960237503,0.185
"210",0,0,0.16
"211",0,0,0.1825
"212",0.172727272727273,0.19325389794491,0.13
"213",0,0,0.1275
"214",0.405263157894737,0.47702449256256,0.1625
"215",0,0,0.1325
"216",0,0,0.16
"217",0,0,0.1375
"218",0.27,0.291522154213898,0.1125
"219",0.382608695652174,0.48809356966519,0.14
"220",0.190909090909091,0.213596413518059,0.1425
"221",0,0,0.135
"222",0.4,0.478120921189122,0.14
"223",0,0,0.1525
"224",0.189473684210526,0.231472876113989,0.1675
"225",0,0,0.1375
"226",0.292307692307692,0.319979221624479,0.1725
"227",0.170833333333333,0.220286727916764,0.1625
"228",0.1,0.099999999999999,0.14
"229",0.2,0.22129472273013,0.155
"230",0,0,0.1475
"231",0.2,0.22129472273013,0.1425
"232",0,0,0.1575
"233",0.205263157894737,0.250762282456822,0.15
"234",0.266666666666667,0.282156949601457,0.195
"235",0.442424242424242,0.627580912795651,0.1875
"236",0.1,0.099999999999999,0.1625
"237",0,0,0.14
"238",0.509090909090909,0.569590436048156,0.145
"239",0.227272727272727,0.254281444664356,0.16
"240",0.191666666666667,0.216834618018,0.1325
"241",0.35,0.383604756007139,0.16
"242",0,0,0.145
"243",0.294736842105263,0.360068918399539,0.1325
"244",0.2,0.223767671304633,0.1625
"245",0.111111111111111,0.12157961688412,0.1625
"246",0.161904761904762,0.202131775876796,0.1475
"247",0.26,0.272027409693652,0.1275
"248",0.181818181818182,0.203425155731484,0.135
"249",0.166666666666667,0.194896556684836,0.1375
"250",0.245454545454545,0.274623960237504,0.1725
"251",0,0,0.18
"252",0,0,0.17
"253",0.311111111111111,0.340422927275537,0.1475
"254",0,0,0.1475
"255",0.346666666666667,0.40538483790446,0.1875
"256",0,0,0.1225
"257",0.2,0.24168552433464,0.1675
"258",0,0,0.14
"259",0,0,0.145
"260",0.16,0.177035778184104,0.13
"261",0.176923076923077,0.202380883894522,0.1425
"262",0.35,0.378723410979689,0.165
"263",0.161538461538462,0.212807911131811,0.1525
"264",0.188888888888889,0.206685348703005,0.17
"265",0,0,0.155
"266",0,0,0.1425
"267",0,0,0.12
"268",0.209090909090909,0.233938929091207,0.1775
"269",0.133333333333333,0.141078474800729,0.1375
"270",0.271428571428571,0.290435174639284,0.1475
"271",0.188888888888889,0.206685348703005,0.14
"272",0.2,0.206907223199116,0.1425
"273",0.190909090909091,0.213596413518059,0.1875
"274",0,0,0.14
"275",0,0,0.165
"276",0.172,0.224180958151946,0.1375
"277",0,0,0.165
"278",0,0,0.105
"279",0,0,0.16
"280",0,0,0.155
"281",0.425,0.459878427618194,0.1775
"282",0.175,0.197979433842521,0.1525
"283",0,0,0.1325
"284",0,0,0.15
"285",0,0,0.1575
"286",0,0,0.14
"287",0,0,0.1625
"288",0,0,0.14
"289",0,0,0.1775
"290",0,0,0.145
"291",0,0,0.16
"292",0.374358974358974,0.419946984680619,0.1675
"293",0,0,0.1425
"294",0,0,0.145
"295",0.458571428571429,0.499065920309573,0.165
"296",0,0,0.18
"297",0,0,0.135
"298",0.269230769230769,0.307970910274272,0.14
"299",0.25,0.282827762632173,0.17
"300",0.327272727272727,0.342397609012037,0.155
"301",0.4,0.510279641013608,0.1725
"302",0,0,0.145
"303",0,0,0.16
"304",0.185714285714286,0.198718803700563,0.155
"305",0,0,0.1525
"306",0,0,0.15
"307",0.409090909090909,0.452782239482624,0.1475
"308",0,0,0.1175
"309",0.563636363636364,0.630617982767602,0.1625
"310",0.503333333333333,0.544500152663424,0.1325
"311",0,0,0.1575
"312",0.4,0.426262210105737,0.1975
"313",0.233333333333333,0.236389168019375,0.14
"314",0.205555555555556,0.248399011121713,0.1275
"315",0.157142857142857,0.168146680054323,0.1225
"316",0,0,0.11
"317",0.17027027027027,0.251781219487467,0.165
"318",0.257142857142857,0.297406621463184,0.1525
"319",0,0,0.1375
"320",0,0,0.17
"321",0.136363636363636,0.152568866798613,0.15
"322",0,0,0.155
"323",0.19,0.210229986593623,0.1375
"324",0,0,0.1375
"325",0.155555555555556,0.170211463637769,0.1375
"326",0.3,0.331942084095194,0.1525
"327",0.251724137931034,0.342359500677145,0.1925
"328",0,0,0.13
"329",0.1,0.099999999999999,0.1725
"330",0,0,0.1525
"331",0,0,0.145
"332",0.191666666666667,0.216834618018,0.13
"333",0,0,0.145
"334",0.42,0.449020349362969,0.1375
"335",0,0,0.1825
"336",0.175,0.206900097566769,0.115
