"","HH","TH","Truth"
"867",0,0,0.14
"868",0.1,0.099999999999999,0.11
"869",0,0,0.1825
"870",0,0,0.165
"871",0,0,0.1125
"872",0,0,0.135
"873",0.245454545454545,0.274623960237504,0.165
"874",0.2375,0.256990886021932,0.1625
"875",0,0,0.1525
"876",0,0,0.14
"877",0,0,0.165
"878",0,0,0.115
"879",0.2,0.201140684410645,0.145
"880",0.22,0.243424195003142,0.15
"881",0.33125,0.464984789949755,0.195
"882",0.233333333333333,0.255317195456653,0.165
"883",0,0,0.145
"884",0.35,0.397330681011066,0.155
"885",0,0,0.1575
"886",0.142857142857143,0.152860618231202,0.125
"887",0.2875,0.311094230447602,0.1875
"888",0.2,0.199999999999998,0.15
"889",0,0,0.17
"890",0.366666666666667,0.414814051860521,0.16
"891",0.188888888888889,0.206685348703005,0.18
"892",0,0,0.1375
"893",0.2,0.218843310391417,0.14
"894",0.16,0.177035778184104,0.155
"895",0.25,0.264522140251366,0.1475
"896",0,0,0.105
"897",0.216666666666667,0.245117394281217,0.165
"898",0.38956043956044,0.483336987484981,0.2225
"899",0,0,0.1575
"900",0.188888888888889,0.206685348703005,0.1575
"901",0.2125,0.229939213809097,0.1775
"902",0,0,0.14
"903",0.691428571428572,0.732240573177929,0.18
"904",0.24,0.280651041626164,0.155
"905",0.158823529411765,0.189842130472152,0.1275
"906",0,0,0.15
"907",0,0,0.1725
"908",0.211111111111111,0.231001272079829,0.1525
"909",0.26,0.287683139549168,0.155
"910",0.392261904761905,0.458524787558092,0.1525
"911",0,0,0.145
"912",0.2,0.199999999999998,0.1525
"913",0.186666666666667,0.218284143487017,0.175
"914",0,0,0.1375
"915",0,0,0.1425
"916",0.1625,0.175835869383427,0.1525
"917",0.1,0.099999999999999,0.1325
"918",0,0,0.12
"919",0,0,0.1525
"920",0,0,0.14
"921",0,0,0.1475
"922",0,0,0.17
"923",0.184615384615385,0.211180052759501,0.185
"924",0,0,0.1325
"925",0,0,0.1475
"926",0.183333333333333,0.20740702593026,0.175
"927",0,0,0.1375
"928",0.682142857142857,0.756529801947714,0.155
"929",0.2,0.226262210105739,0.18
"930",0,0,0.18
"931",0.345454545454545,0.43597228319872,0.1575
"932",0.136363636363636,0.152568866798613,0.16
"933",0,0,0.165
"934",0.166666666666667,0.208076828108466,0.1375
"935",0.171428571428571,0.198271080975456,0.16
"936",0.32,0.354071556368207,0.165
"937",0.443333333333333,0.471040502900544,0.1525
"938",0.2,0.226262210105739,0.15
"939",0.657662337662338,0.721940113264273,0.155
"940",0.353030303030303,0.381821388349797,0.16
"941",0,0,0.1775
"942",0.358333333333333,0.379124249667041,0.18
"943",0,0,0.17
"944",0,0,0.1625
"945",0.2,0.218843310391417,0.1525
"946",0,0,0.135
"947",0.244444444444444,0.295393418631227,0.1575
"948",0,0,0.1575
"949",0,0,0.1175
"950",0.283333333333333,0.32053813098313,0.1425
"951",0.2,0.22129472273013,0.1475
"952",0.185714285714286,0.198718803700563,0.13
"953",0.23125,0.273403700356087,0.155
"954",0,0,0.1725
"955",0,0,0.1225
"956",0.1,0.099999999999999,0.17
"957",0.138461538461538,0.158385039569626,0.1575
"958",0.25,0.258713284150819,0.155
"959",0,0,0.165
"960",0.1,0.099999999999999,0.1025
"961",0,0,0.15
"962",0.166666666666667,0.182369425326181,0.1475
"963",0,0,0.1225
"964",0,0,0.145
"965",0,0,0.165
"966",0.509090909090909,0.562236142446203,0.1375
"967",0.310897435897436,0.353850780521108,0.1475
"968",0,0,0.15
